id , painting_title             , season, episode, air_date , Alizarin_Crimson, Black_Gesso, Bright_Red, Burnt_Umber, Cadmium_Yellow, Dark_Sienna, Indian_Red, Indian_Yellow, Liquid_Black, Liquid_Clear, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, APPLE_FRAME, AURORA_BOREALIS, BARN, BEACH, BOAT, BRIDGE, BUILDING, BUSHES, CABIN, CACTUS, CIRCLE_FRAME, CIRRUS, CLIFF, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, DIANE_ANDRE, DOCK, DOUBLE_OVAL_FRAME, FARM, FENCE, FIRE, FLORIDA_FRAME, FLOWERS, FOG, FRAMED, GRASS, GUEST, HALF_CIRCLE_FRAME, HALF_OVAL_FRAME, HILLS, LAKE, LAKES, LIGHTHOUSE, MILL, MOON, MOUNTAIN, MOUNTAINS, NIGHT, OCEAN, OVAL_FRAME, PALM_TREES, PATH, PERSON, PORTRAIT, RECTANGLE_3D_FRAME, RECTANGULAR_FRAME, RIVER, ROCKS, SEASHELL_FRAME, SNOW, SNOWY_MOUNTAIN, SPLIT_FRAME, STEVE_ROSS, STRUCTURE, SUN, TOMB_FRAME, TREE, TREES, TRIPLE_FRAME, WATERFALL, WAVES, WINDMILL, WINDOW_FRAME, WINTER, WOOD_FRAMED
 21, Reflections                ,      2,       8, 19-Oct-83,                1,           0,          1,           1,              1,           0,          0,             1,            0,            0,              0,            1,             1,             1,         1,              1,              1,            1,           0,               0,    0,     0,    0,      0,        0,      1,     0,      0,            0,      1,     0,      1,       1,       0,         0,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     0,     0,                 0,               0,     0,    1,     0,          0,    0,    0,        1,         0,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     0,     0,              0,    0,              1,           0,          0,         0,   0,          0,    1,     1,            0,         0,     0,        0,            0,      0,           0
 22, Black and White Seascape   ,      2,       9, 26-Oct-83,                1,           1,          1,           0,              1,           0,          0,             1,            0,            0,              0,            1,             1,             1,         1,              1,              1,            1,           0,               0,    0,     0,    0,      0,        0,      0,     0,      0,            0,      1,     0,      0,       0,       1,         1,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     0,     0,                 0,               0,     0,    0,     0,          0,    0,    0,        0,         0,     0,     1,          0,          0,    0,      0,        0,                  0,                 0,     0,     1,              0,    0,              0,           0,          0,         0,   1,          0,    1,     1,            0,         0,     1,        0,            0,      0,           0
 23, Lazy River                 ,      2,      10, 2-Nov-83 ,                1,           0,          1,           1,              1,           0,          0,             1,            0,            0,              0,            1,             1,             1,         1,              1,              1,            1,           0,               0,    0,     0,    0,      0,        0,      0,     0,      0,            0,      0,     0,      0,       0,       0,         1,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     1,     0,                 0,               0,     0,    0,     0,          0,    0,    0,        0,         0,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     1,     0,              0,    0,              0,           0,          0,         0,   0,          0,    1,     1,            0,         0,     0,        0,            0,      0,           0
 24, Black Waterfall            ,      2,      11, 9-Nov-83 ,                1,           1,          0,           1,              1,           0,          0,             1,            0,            0,              0,            1,             1,             1,         1,              1,              1,            1,           0,               0,    0,     0,    0,      0,        0,      1,     0,      0,            0,      0,     0,      1,       1,       1,         1,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     1,     0,                 0,               0,     0,    0,     0,          0,    0,    0,        0,         0,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     1,     1,              0,    0,              0,           0,          0,         0,   0,          0,    1,     1,            0,         1,     0,        0,            0,      0,           0
 25, Mountain Waterfall         ,      2,      12, 16-Nov-83,                1,           0,          1,           1,              1,           0,          0,             1,            0,            0,              0,            1,             1,             1,         1,              1,              1,            1,           0,               0,    0,     0,    0,      0,        0,      0,     0,      0,            0,      0,     0,      0,       0,       0,         1,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     1,     0,                 0,               0,     0,    1,     0,          0,    0,    0,        1,         1,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     0,     0,              0,    0,              1,           0,          0,         0,   0,          0,    1,     1,            0,         1,     0,        0,            0,      0,           0
 26, Final Grace                ,      2,      13, 23-Nov-83,                1,           0,          1,           1,              1,           0,          0,             1,            0,            0,              0,            1,             1,             1,         1,              1,              1,            1,           0,               0,    0,     0,    0,      0,        0,      1,     0,      0,            0,      0,     0,      1,       1,       1,         0,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     0,     0,                 0,               0,     0,    1,     0,          0,    0,    0,        1,         1,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     0,     0,              0,    0,              1,           0,          0,         0,   0,          0,    1,     1,            0,         0,     0,        0,            0,      0,           0
 27, Mountain Retreat           ,      3,       1, 4-Jan-84 ,                1,           0,          1,           1,              1,           0,          0,             1,            0,            0,              0,            1,             1,             1,         1,              1,              1,            1,           0,               0,    0,     0,    0,      0,        0,      1,     1,      0,            0,      0,     0,      0,       1,       0,         1,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     0,     0,                 0,               0,     0,    1,     0,          0,    0,    0,        1,         1,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     0,     0,              0,    0,              0,           0,          0,         1,   0,          0,    1,     1,            0,         0,     0,        0,            0,      0,           0
 28, Blue Moon                  ,      3,       2, 11-Jan-84,                1,           0,          1,           1,              1,           0,          0,             1,            0,            0,              0,            1,             1,             1,         1,              1,              1,            1,           0,               0,    0,     0,    0,      0,        0,      0,     0,      0,            0,      0,     0,      1,       0,       1,         0,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     0,     0,                 0,               0,     0,    0,     0,          0,    0,    1,        0,         0,     1,     1,          0,          1,    0,      0,        0,                  0,                 0,     0,     0,              0,    0,              0,           0,          0,         0,   0,          0,    1,     1,            0,         0,     1,        0,            0,      0,           0
 29, Bubbling Stream            ,      3,       3, 18-Jan-84,                1,           0,          1,           1,              1,           0,          0,             1,            0,            0,              0,            1,             1,             1,         1,              1,              1,            1,           0,               0,    0,     0,    0,      0,        0,      0,     0,      0,            0,      0,     0,      0,       0,       0,         1,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     1,     0,                 0,               0,     0,    0,     0,          0,    0,    0,        0,         0,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     1,     1,              0,    0,              0,           0,          0,         0,   0,          0,    1,     1,            0,         0,     0,        0,            0,      0,           0
 30, Winter Night               ,      3,       4, 25-Jan-84,                1,           0,          1,           0,              1,           0,          0,             0,            1,            0,              0,            0,             1,             0,         0,              1,              1,            0,           0,               0,    0,     0,    0,      0,        0,      0,     1,      0,            0,      0,     0,      0,       1,       0,         0,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     0,     0,                 0,               0,     0,    0,     0,          0,    0,    0,        0,         0,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     0,     0,              0,    1,              0,           0,          0,         1,   0,          0,    1,     1,            0,         0,     0,        0,            0,      1,           0
